preset_id,algorithm,noise_sigma,noise_type,num_runs,rmse,rmse_std,nrmse,nrmse_std
sim_lr_gaussian_sigma_0p01,global_mean,0.01,gaussian,3,3.162067688130978,0.04141700801372463,0.11151763427732068,0.002665642955113125
sim_lr_gaussian_sigma_0p01,hyperimpute,0.01,gaussian,3,1.1855150366441614,0.039103427293888285,0.041843909735443975,0.0023145775715325625
sim_lr_gaussian_sigma_0p01,missforest,0.01,gaussian,3,1.9534893629938288,0.02127507706427427,0.0688858843919669,0.0011334793933375914
sim_lr_gaussian_sigma_0p01,nuclear_norm_minimization,0.01,gaussian,3,0.011060566098701758,0.00021253215115576396,0.0003899453575859347,3.777333105964474e-06
sim_lr_gaussian_sigma_0p01,robust_pca,0.01,gaussian,3,3.1766380306635944,0.038139674406819396,0.11203139242429805,0.002606279201680332
sim_lr_gaussian_sigma_0p01,row_mean,0.01,gaussian,3,3.1813039863103554,0.042555081564182855,0.11219502913336259,0.0026572462723484323
sim_lr_gaussian_sigma_0p01,soft_impute,0.01,gaussian,3,0.5655008555243964,0.018571376888126667,0.01995242098959819,0.0009691721301050573
sim_lr_gaussian_sigma_0p01,svt,0.01,gaussian,3,0.05383981677305344,0.0019136750231696991,0.0018979840000730493,5.5039423718802543e-05
sim_lr_gaussian_sigma_0p03,global_mean,0.03,gaussian,3,3.162066921863199,0.041417233196429384,0.11151760840724177,0.002665695120169923
sim_lr_gaussian_sigma_0p03,hyperimpute,0.03,gaussian,3,1.153749832562317,0.08271370325153049,0.040764344022231946,0.003858095807601626
sim_lr_gaussian_sigma_0p03,missforest,0.03,gaussian,3,1.9503906423922446,0.019643324447062536,0.06877812339904538,0.001185660016146361
sim_lr_gaussian_sigma_0p03,nuclear_norm_minimization,0.03,gaussian,3,0.03306645678306868,0.0006338806965200806,0.0011657742352107691,1.1296653910284903e-05
sim_lr_gaussian_sigma_0p03,robust_pca,0.03,gaussian,3,3.1766375598906342,0.03813281481973425,0.11203137685450708,0.0026061937567844326
sim_lr_gaussian_sigma_0p03,row_mean,0.03,gaussian,3,3.1813018536148063,0.042529796095014304,0.11219496587852151,0.002657226782100246
sim_lr_gaussian_sigma_0p03,soft_impute,0.03,gaussian,3,0.5675688459888818,0.01856945031507345,0.020025494148486714,0.0009731120196220072
sim_lr_gaussian_sigma_0p03,svt,0.03,gaussian,3,0.03305859297499241,0.00048601817724577953,0.001165827147091224,2.6423229451757562e-05
sim_lr_gaussian_sigma_0p1,global_mean,0.1,gaussian,3,3.1620643004425655,0.041418062381055415,0.1115175199928992,0.0026658784080904508
sim_lr_gaussian_sigma_0p1,hyperimpute,0.1,gaussian,3,1.1672845721498868,0.09115969775547147,0.04124868770384826,0.00416101393323918
sim_lr_gaussian_sigma_0p1,missforest,0.1,gaussian,3,1.9531482984332016,0.02126646675755176,0.06887397508072607,0.0011403538400225474
sim_lr_gaussian_sigma_0p1,nuclear_norm_minimization,0.1,gaussian,3,0.10874519916059701,0.0019936456465384474,0.0038339403237106482,3.865479041318052e-05
sim_lr_gaussian_sigma_0p1,robust_pca,0.1,gaussian,3,3.1766205909602463,0.0380936754313748,0.11203082764847781,0.0026075541545539653
sim_lr_gaussian_sigma_0p1,row_mean,0.1,gaussian,3,3.181306693608828,0.04244052619162852,0.11219517831638544,0.0026571473196637828
sim_lr_gaussian_sigma_0p1,soft_impute,0.1,gaussian,3,0.5906010961445814,0.018251083376815077,0.02083829581867348,0.0009897363426367993
sim_lr_gaussian_sigma_0p1,svt,0.1,gaussian,3,0.14193038726205873,0.009006797838286798,0.005006539399601169,0.000353013244296942
sim_lr_gaussian_sigma_0p3,global_mean,0.3,gaussian,3,3.1620573293836896,0.04142078334275344,0.1115172856456585,0.002666408175278985
sim_lr_gaussian_sigma_0p3,hyperimpute,0.3,gaussian,3,1.3235859285906841,0.06496961538091198,0.046637221320707745,0.0014780969286133973
sim_lr_gaussian_sigma_0p3,missforest,0.3,gaussian,3,1.9545814336239005,0.02046729362177286,0.06892363524423388,0.0010660973330387314
sim_lr_gaussian_sigma_0p3,nuclear_norm_minimization,0.3,gaussian,3,0.31497186296138846,0.005166602372772916,0.01110519275123304,0.00012299813833012484
sim_lr_gaussian_sigma_0p3,robust_pca,0.3,gaussian,3,3.1767295049459485,0.038097202597917844,0.1120347602057759,0.0026115966090431543
sim_lr_gaussian_sigma_0p3,row_mean,0.3,gaussian,3,3.181425985473245,0.042178869605082506,0.11219950370307193,0.002656825185251308
sim_lr_gaussian_sigma_0p3,soft_impute,0.3,gaussian,3,0.742940246174795,0.016028473331176726,0.026211225600130877,0.0010478543201166042
sim_lr_gaussian_sigma_0p3,svt,0.3,gaussian,3,0.4579305287165399,0.023725530243889674,0.016133027931287767,0.0004993915949722623
sim_lr_gaussian_sigma_1p0,global_mean,1.0,gaussian,3,3.1620389823604396,0.04143441361635229,0.11151667852431753,0.0026683333772384247
sim_lr_gaussian_sigma_1p0,hyperimpute,1.0,gaussian,3,2.028180867260793,0.008825567643276248,0.07154391751268807,0.002069562534280258
sim_lr_gaussian_sigma_1p0,missforest,1.0,gaussian,3,2.010809581594503,0.027058943219126514,0.07090163426938038,0.000944117295188372
sim_lr_gaussian_sigma_1p0,nuclear_norm_minimization,1.0,gaussian,3,0.9518699383052681,0.01190502266964216,0.033563691576585224,0.00045487802748904536
sim_lr_gaussian_sigma_1p0,robust_pca,1.0,gaussian,3,3.1780269157882017,0.038009155957014894,0.11208090326022814,0.002627204230716303
sim_lr_gaussian_sigma_1p0,row_mean,1.0,gaussian,3,3.183073421771635,0.0411864301904111,0.11225800659922532,0.0026546424113997173
sim_lr_gaussian_sigma_1p0,soft_impute,1.0,gaussian,3,1.350240377262231,0.013622524805615184,0.047626772595908674,0.0013525171453326853
sim_lr_gaussian_sigma_1p0,svt,1.0,gaussian,3,1.3386053202472719,0.007119060177451518,0.04720945977403462,0.0009920440795445269
sim_lr_gaussian_sigma_3p0,global_mean,3.0,gaussian,3,3.1620384332566585,0.041508606694284224,0.1115167703866972,0.0026744429542270636
sim_lr_gaussian_sigma_3p0,hyperimpute,3.0,gaussian,3,3.6688334717922664,0.08761635627097387,0.12948055649185367,0.006236583732011542
sim_lr_gaussian_sigma_3p0,missforest,3.0,gaussian,3,2.3911444044908388,0.019477590924511574,0.08432201258777944,0.0014378142086855284
sim_lr_gaussian_sigma_3p0,nuclear_norm_minimization,3.0,gaussian,3,2.367797116401673,0.018692151754542603,0.08349892452511481,0.0014275144677737552
sim_lr_gaussian_sigma_3p0,robust_pca,3.0,gaussian,3,3.1892460196512027,0.03746107446438506,0.11247845834477477,0.0027030597506404077
sim_lr_gaussian_sigma_3p0,row_mean,3.0,gaussian,3,3.198282117617515,0.037710093532940255,0.11279541931289135,0.0026410041845549054
sim_lr_gaussian_sigma_3p0,soft_impute,3.0,gaussian,3,2.4704468831398505,0.021530371213883744,0.08712559405928645,0.0018734628451275406
sim_lr_gaussian_sigma_3p0,svt,3.0,gaussian,3,3.435616053916069,0.04046108399785709,0.12114435445779013,0.0016936928080099833
sim_lr_gaussian_sigma_0p01,tab_impute_v2,0.01,gaussian,3,3.110760634126009,0.03271337249673751,0.10970964514510752,0.002537308348748812
sim_lr_gaussian_sigma_0p03,tab_impute_v2,0.03,gaussian,3,3.1102787956042834,0.03269963252789282,0.10969250813469734,0.0025305861559128204
sim_lr_gaussian_sigma_0p1,0.1,gaussian,3,3.1109255793682125,0.03220040565966001,0.10971567208572226,0.0025379689787095464
sim_lr_gaussian_sigma_0p3,tab_impute_v2,0.3,gaussian,3,3.1134144129105965,0.030723539184099487,0.10980509005202845,0.0025860939188238714
sim_lr_gaussian_sigma_1p0,tab_impute_v2,1.0,gaussian,3,3.1338277726370714,0.02921972434163641,0.11052444764015466,0.0025523337827486167
sim_lr_gaussian_sigma_3p0,tab_impute_v2,3.0,gaussian,3,3.20060489136579,0.034502096333911846,0.11287673370978102,0.0025588848620310095
